NAME;TYPE;SUBTYPES;LEVEL;IMAGE;ATTACK;DEFENSE;EFFECT1;EFFECT2;SERIAL;RARITY;TRANSPARENCY;EFFECT1_STYLE;EFFECT2_STYLE
Smorkle;Fire;Machine, Reptile;1;../images/units/fire/Smorkle.jpg;175;325;Discard this card to add one rank 2 machine card from your deck to your hand.;Destroy two machine cards you own to play one machine card from your discard pile.;S10aecEoD4D000;0;50;latent;None
Magmotus Gargatua;Fire;Machine, Reptile;5;../images/units/fire/Magmotus Gargatua.jpg;265;2235;Both players gain four points for each machine card they control.;Discard this card to add one rank 4 or lower reptile card from your deck to your hand.;M50aec5wB0D400;0;60;None;latent
Slow Runner;Fire;Machine;1;../images/units/fire/Slow Runner.jpg;155;345;While this card is under another, all machine cards you control gain 50 defense.;Discard this card to add one rank 2 or lower machine card from your deck to your hand.;S10aeCDRW4D400;0;60;latent;latent
Lil Flameblaster;Fire;Reptile;1;../images/units/fire/Lil Flameblaster.jpg;185;315;Destroy one rank 1 reptile card you own to play one rank 2 reptile card from your deck.;Whenever a reptile card is played, shuffle one card from your discard pile into your deck.;L10aemenD0W000;0;75;None;None
Flixxik;Fire;Elemental;2;../images/units/fire/Flixxik.jpeg;710;290;You can rank up one of your elemental card using a unit from your deck.;While this card is under another, all elemental cards you control gain 100 attack.;F20AZkrcY0W400;0;75;None;latent
Demogra;Fire;Warrior, Undead;4;../images/units/fire/Demogra.jpeg;1095;905;Copy the effect of one undead card in your discard pile.;This turn, all warrior cards gain 400 attack.;D40aeVLHC0T000;0;75;None;None
Gharlin;Fire;Elemental, Ghost;1;../images/units/fire/Gharlin.jpeg;260;240;Discard this card to add one rank 2 elemental card from your discard pile to your hand.;Whenever your opponent plays a elemental card, they lose one point and you gain one point.;G10AZLkhD4W500;0;75;latent;passive
Influxie;Fire;Beast;2;../images/units/fire/Influxie.jpg;380;620;Both players gain one point for each beast card they control.;Discard this card to add one rank 2 or higher beast card from your deck to your hand.;I208E2enB0D400;0;75;None;latent
Majestic Fire Wolf;Fire;Beast;3;../images/units/fire/Majestic Fire Wolf.jpg;1070;430;While this card is on the field, all beast cards gain 200 attack.;Add up to two rank 2 or lower beast cards from your deck to your hand.;M308E2SCW1A000;0;60;continuous;None
Magma Falls;Spell;;2;../images/spells/fire/Magma Falls.jpeg;-20;+5;Your opponent cannot play fire cards next turn.;While this card is on the field, water cards can rank up using fire cards.;M20aLUznY0W100;0;60;None;continuous
Peace By Fire;Spell;;1;../images/spells/fire/Peace By Fire.jpg;+5;+5;Add one rank 2 fire card from your deck to your hand.;Reveal the top two cards of your deck and play one fire card from among them.;P10aLUssA0R000;0;50;None;None
Quantum Crystal Spark;Spell;;2;../images/spells/fire/Quantum Crystal Spark.jpeg;+15;+20;Destroy one rank 2 fire card you own to play one rank 5 fire card from your deck.;Add up to three rank 2 fire cards from your deck to your hand.;Q20aLUWzD0A000;0;60;None;None
Spell Malfunction;Spell;;2;../images/spells/fire/Spell Malfunction.jpg;+15;+20;Return one spell card from the field to the owner's deck.;Destroy exactly two rank 2 spell cards on the field.;S20aLUWzR0D000;0;60;None;None
Ember Summoning Circle;Spell;;1;../images/spells/fire/Ember Summoning Circle.jpeg;-10;-5;Destroy one rank 2 fire card you own to play one rank 4 fire card from your deck.;Destroy one rank 2 fire card you own to play one rank 2 fire card from your deck.;E10aLUzsD0D000;0;50;None;None
Volcanic Summoner's Circle;Spell;;1;../images/spells/fire/Volcanic Summoner's Circle.jpeg;-10;-5;Discard one rank 1 unit card to play one rank 1 unit card from your deck.;You can play one extra fire card this turn.;V10aLUzsD7Y000;0;50;overload;None
Whirling Of Flame And Fluid;Spell;;1;../images/spells/fire/Whirling Of Flame And Fluid.jpeg;-5;-10;While this card is on the field, water cards can rank up using fire cards.;While this card is on the field, fire cards can rank up using water cards.;W10aLUszW5W500;0;50;passive;passive
Slagmoi;Fire;Beast, Elemental;1;../images/units/fire/Slagmoi.jpg;150;350;Add up to two rank 2 beast cards from your deck to your hand.;This turn, increase the rank of one elemental card you control by one.;S1085scrA0T000;0;75;None;None
Flame Drop;Fire;Elemental;1;../images/units/fire/Flame Drop.jpg;485;15;Add up to two rank 1 elemental cards from your deck to your hand.;Add one rank 2 elemental card from your deck to your hand.;F10AZkZ1A0A000;0;75;None;None
Flame Knight, Leander;Fire;Warrior;3;../images/units/fire/Flame Knight, Leander.jpg;725;775;Until your next turn, all warrior cards you control become rank 4.;While this card is on the field, warrior cards cannot be targeted by effects.;F30aeviKU0W100;0;75;None;continuous
Fire Tail Scorpid;Fire;Insect;1;../images/units/fire/Fire Tail Scorpid.jpeg;425;75;While this card is under another, all insect cards you control gain 100 attack.;You can rank up this card using a insect card.;F10aERv7W4Y500;0;75;latent;passive
