EFFECTNAME;UNIT;SPELL;LEVEL_1;LEVEL_3;LEVEL_2;LEVEL_4;LEVEL_5
Add one rank 1 earth card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 1 earth card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 1 electric card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 1 electric card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 1 electric card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 1 electric card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 1 elemental card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 elemental card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 elemental card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 elemental card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 fairy card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 fairy card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 fairy card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 fairy card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 fire card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 1 fire card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 1 fire card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 1 fire card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 1 ghost card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 ghost card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 ghost card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 ghost card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 insect card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 insect card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 insect card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 insect card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 light card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 1 light card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 1 light card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 1 light card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 1 machine card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 machine card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 machine card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 machine card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 reptile card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 reptile card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 reptile card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 reptile card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 spell card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 1 spell card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 1 spell card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 1 spell card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 1 spell from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 1 spell from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 1 spell from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 1 spell from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 1 spellcaster card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 spellcaster card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 spellcaster card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 spellcaster card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 undead card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 undead card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 undead card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 undead card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 warrior card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 warrior card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 warrior card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 warrior card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 water card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 1 water card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 1 water card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 1 water card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 2 air card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 2 air card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 2 air card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 2 air card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 2 aquatic card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 aquatic card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 aquatic card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 aquatic card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 beast card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 beast card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 beast card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 beast card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 botanic card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 botanic card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 botanic card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 botanic card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 card from your deck to your hand.;False;False;True;True;True;False;False
Add one rank 2 card from your deck to your hand.;False;False;True;True;True;False;False
Add one rank 2 card from your discard pile to your hand.;False;False;True;True;True;False;False
Add one rank 2 card from your discard pile to your hand.;False;False;True;True;True;False;False
Add one rank 2 creature from your deck to your hand.;False;False;True;True;True;False;False
Add one rank 2 creature from your deck to your hand.;False;False;True;True;True;False;False
Add one rank 2 creature from your discard pile to your hand.;False;False;True;True;True;False;False
Add one rank 2 creature from your discard pile to your hand.;False;False;True;True;True;False;False
Add one rank 2 dark card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 2 dark card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 2 dark card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 2 dark card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 2 dragon card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 dragon card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 dragon card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 dragon card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 earth card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 2 earth card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 2 earth card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 2 earth card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 2 electric card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 2 electric card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 2 electric card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 2 electric card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 2 elemental card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 elemental card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 elemental card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 elemental card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 fairy card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 fairy card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 fairy card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 fairy card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 fire card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 2 fire card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 2 fire card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 2 fire card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 2 ghost card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 ghost card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 ghost card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 ghost card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 insect card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 insect card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 insect card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 insect card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 light card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 2 light card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 2 light card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 2 light card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 2 machine card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 machine card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 machine card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 machine card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 or higher air card from your deck to your hand.;False;True;False;True;True;False;False
Add one rank 2 or higher air card from your discard pile to your hand.;False;True;False;True;True;False;False
Add one rank 2 or higher aquatic card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher aquatic card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher beast card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher beast card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher botanic card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher botanic card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher card from your deck to your hand.;False;False;False;True;True;False;False
Add one rank 2 or higher card from your discard pile to your hand.;False;False;False;True;True;False;False
Add one rank 2 or higher creature from your deck to your hand.;False;False;False;True;True;False;False
Add one rank 2 or higher creature from your discard pile to your hand.;False;False;False;True;True;False;False
Add one rank 2 or higher dark card from your deck to your hand.;False;True;False;True;True;False;False
Add one rank 2 or higher dark card from your discard pile to your hand.;False;True;False;True;True;False;False
Add one rank 2 or higher dragon card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher dragon card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher earth card from your deck to your hand.;False;True;False;True;True;False;False
Add one rank 2 or higher earth card from your discard pile to your hand.;False;True;False;True;True;False;False
Add one rank 2 or higher electric card from your deck to your hand.;False;True;False;True;True;False;False
Add one rank 2 or higher electric card from your discard pile to your hand.;False;True;False;True;True;False;False
Add one rank 2 or higher elemental card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher elemental card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher fairy card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher fairy card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher fire card from your deck to your hand.;False;True;False;True;True;False;False
Add one rank 2 or higher fire card from your discard pile to your hand.;False;True;False;True;True;False;False
Add one rank 2 or higher ghost card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher ghost card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher insect card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher insect card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher light card from your deck to your hand.;False;True;False;True;True;False;False
Add one rank 2 or higher light card from your discard pile to your hand.;False;True;False;True;True;False;False
Add one rank 2 or higher machine card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher machine card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher reptile card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher reptile card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher spell card from your deck to your hand.;False;True;False;True;True;False;False
Add one rank 2 or higher spell card from your discard pile to your hand.;False;True;False;True;True;False;False
Add one rank 2 or higher spell from your deck to your hand.;False;True;False;True;True;False;False
Add one rank 2 or higher spell from your discard pile to your hand.;False;True;False;True;True;False;False
Add one rank 2 or higher spellcaster card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher spellcaster card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher undead card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher undead card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher warrior card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher warrior card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or higher water card from your deck to your hand.;False;True;False;True;True;False;False
Add one rank 2 or higher water card from your discard pile to your hand.;False;True;False;True;True;False;False
Add one rank 2 or lower air card from your deck to your hand.;False;True;False;True;True;False;False
Add one rank 2 or lower air card from your discard pile to your hand.;False;True;False;True;True;False;False
Add one rank 2 or lower aquatic card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower aquatic card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower beast card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower beast card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower botanic card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower botanic card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower card from your deck to your hand.;False;False;False;True;True;False;False
Add one rank 2 or lower card from your discard pile to your hand.;False;False;False;True;True;False;False
Add one rank 2 or lower creature from your deck to your hand.;False;False;False;True;True;False;False
Add one rank 2 or lower creature from your discard pile to your hand.;False;False;False;True;True;False;False
Add one rank 2 or lower dark card from your deck to your hand.;False;True;False;True;True;False;False
Add one rank 2 or lower dark card from your discard pile to your hand.;False;True;False;True;True;False;False
Add one rank 2 or lower dragon card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower dragon card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower earth card from your deck to your hand.;False;True;False;True;True;False;False
Add one rank 2 or lower earth card from your discard pile to your hand.;False;True;False;True;True;False;False
Add one rank 2 or lower electric card from your deck to your hand.;False;True;False;True;True;False;False
Add one rank 2 or lower electric card from your discard pile to your hand.;False;True;False;True;True;False;False
Add one rank 2 or lower elemental card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower elemental card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower fairy card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower fairy card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower fire card from your deck to your hand.;False;True;False;True;True;False;False
Add one rank 2 or lower fire card from your discard pile to your hand.;False;True;False;True;True;False;False
Add one rank 2 or lower ghost card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower ghost card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower insect card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower insect card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower light card from your deck to your hand.;False;True;False;True;True;False;False
Add one rank 2 or lower light card from your discard pile to your hand.;False;True;False;True;True;False;False
Add one rank 2 or lower machine card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower machine card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower reptile card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower reptile card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower spell card from your deck to your hand.;False;True;False;True;True;False;False
Add one rank 2 or lower spell card from your discard pile to your hand.;False;True;False;True;True;False;False
Add one rank 2 or lower spell from your deck to your hand.;False;True;False;True;True;False;False
Add one rank 2 or lower spell from your discard pile to your hand.;False;True;False;True;True;False;False
Add one rank 2 or lower spellcaster card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower spellcaster card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower undead card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower undead card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower warrior card from your deck to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower warrior card from your discard pile to your hand.;True;False;False;True;True;False;False
Add one rank 2 or lower water card from your deck to your hand.;False;True;False;True;True;False;False
Add one rank 2 or lower water card from your discard pile to your hand.;False;True;False;True;True;False;False
Add one rank 2 reptile card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 reptile card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 reptile card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 reptile card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 spell card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 2 spell card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 2 spell card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 2 spell card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 2 spell from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 2 spell from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 2 spell from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 2 spell from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 2 spellcaster card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 spellcaster card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 spellcaster card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 spellcaster card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 undead card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 undead card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 undead card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 undead card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 warrior card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 warrior card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 2 warrior card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 warrior card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 2 water card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 2 water card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 2 water card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 2 water card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 3 air card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 3 air card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 3 air card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 3 air card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 3 aquatic card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 3 aquatic card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 3 aquatic card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 3 aquatic card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 3 beast card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 3 beast card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 3 beast card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 3 beast card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 3 botanic card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 3 botanic card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 3 botanic card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 3 botanic card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 3 card from your deck to your hand.;False;False;True;True;True;False;False
Add one rank 3 card from your deck to your hand.;False;False;True;True;True;False;False
Add one rank 3 card from your discard pile to your hand.;False;False;True;True;True;False;False
Add one rank 3 card from your discard pile to your hand.;False;False;True;True;True;False;False
Add one rank 3 creature from your deck to your hand.;False;False;True;True;True;False;False
Add one rank 3 creature from your deck to your hand.;False;False;True;True;True;False;False
Add one rank 3 creature from your discard pile to your hand.;False;False;True;True;True;False;False
Add one rank 3 creature from your discard pile to your hand.;False;False;True;True;True;False;False
Add one rank 3 dark card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 3 dark card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 3 dark card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 3 dark card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 3 dragon card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 3 dragon card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 3 dragon card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 3 dragon card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 3 earth card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 3 earth card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 3 earth card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 3 earth card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 3 electric card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 3 electric card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 3 electric card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 3 electric card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 3 elemental card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 3 elemental card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 3 elemental card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 3 elemental card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 3 fairy card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 3 fairy card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 3 fairy card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 3 fairy card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 3 fire card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 3 fire card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 3 fire card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 3 fire card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 3 ghost card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 3 ghost card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 3 ghost card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 3 ghost card from your discard pile to your hand.;True;False;True;True;True;False;False
